reference,vanilla_RAG_prediction,vanilla_RAG_bleu,vanilla_RAG_sacrebleu,vanilla_RAG_rouge1,vanilla_RAG_rouge2,vanilla_RAG_rougeL,vanilla_RAG_meteor,vanilla_RAG_bert_precision,vanilla_RAG_bert_recall,vanilla_RAG_bert_f1,vanilla_RAG_exact_match,LQR_prediction,LQR_bleu,LQR_sacrebleu,LQR_rouge1,LQR_rouge2,LQR_rougeL,LQR_meteor,LQR_bert_precision,LQR_bert_recall,LQR_bert_f1,LQR_exact_match,modLQR_prediction,modLQR_bleu,modLQR_sacrebleu,modLQR_rouge1,modLQR_rouge2,modLQR_rougeL,modLQR_meteor,modLQR_bert_precision,modLQR_bert_recall,modLQR_bert_f1,modLQR_exact_match,
ذہن کی ایک چھوٹی سی چال,"فلم ""دی نیشن انٹرٹینمنٹ"" کا حقوق حاصل کرنے والی کمپنی اس سیاق و سباق میں غیر واضح رہتی ہے۔ تاہم ، اگر آپ مجھے فلم کی صحیح شناخت فراہم کرسکتے ہیں تو ، میرا جواب بہتر ہوگا۔",0.501172466,0.943228467,0.046511628,0,0.046511628,0.052631579,0.811401665,0.902957082,0.8547346,0,انسانی فطرت کی ایک طاقتور تصویر پیش کرنے والی یہ متحرک اور دلچسپ فلم نیشن انٹرٹینمنٹ کی تخلیق کردہ سائنس فکشن / کامیڈی ہے جو امریکی خواب کو پورا کرتی ہے۔,1.275697647,2.398696259,0.108108108,0.057142857,0.108108108,0.11627907,0.818458557,0.921847045,0.867081702,0,"ایک مصنوعی ذہانت کی حیثیت سے ، میرا علم محدود ہے اور میں آپ کو معلومات فراہم کرنے کے لئے انٹرنیٹ پر معلومات تلاش کرتا ہوں۔

فلم ""دی چیتا گرلز"" کی ریلیز کا صحیح سال معلوم نہیں ہوسکتا ہے ، لیکن یقینی طور پر یہ دی گئی معلومات سے پتہ چلتا ہے کہ اس فلم کی ریلیز 2015 میں ہوئی تھی اور نیشن انٹرٹینمنٹ نے بل کونڈن کی ہدایت کاری والی یہ فلم 2005 کے ناول پر مبنی ہے۔",0.272898404,0.52891798,0.047058824,0,0.023529412,0.072992701,0.793304205,0.89540273,0.841267049,0,
دلدل کا کچرا,بینڈ ایڈنبرا نے کینیکٹی میں تشکیل دیا تھا اور ان کی موسیقی اسکیپلاچیا سے متاثر تھی جسے افریقی امریکیوں کی موسیقی کی صنف بھی سمجھا جاتا ہے۔,0,0,0,0,0,0,0.799073935,0.859533906,0.82820195,0,"""آئرن میڈن"" بینڈ ایڈنبرا، اسکاٹ لینڈ میں تشکیل دیا گیا تھا اور اپالاچیا کی موسیقی کی صنف سے متاثر ہوا.",0,0,0,0,0,0,0.807433903,0.861499906,0.833591104,0,آپریشن: آئرن مین,0,0,0,0,0,0,0.854409158,0.839770794,0.847026706,0,
گریناڈا ٹیلی ویژن,"""اپ سیریز"" کا نیا ورژن کرس کلیمنٹس نے تیار کیا ہے ، اور اس پائلٹ ورژن میں ""دی گڈ ، دی بیڈ ، اور دی والبی"" بھی شامل ہے جسے ایک توسیع شدہ کریڈٹ سیریز ملتی ہے جس میں ""ٹرش-او-شٹ"" کے عملے کے ناموں کو ایڈجسٹ کرنے کے لئے اضافی کردار شامل کیے گئے ہیں۔",0,0,0,0,0,0,0.75543797,0.80517447,0.779513717,0,"کھیل ""دی سیمپسنز"" کا نیا ورژن ، جسے عام طور پر ""اپ سیریز"" کے نام سے جانا جاتا ہے ، کو اصل کمپنی ٹریٹر اسٹوڈیوز نے تیار کیا تھا۔",0,0,0,0,0,0,0.770792365,0.796776891,0.783569276,0,"ٹرش-او-شٹ کی توسیع شدہ اختتامی کریڈٹ سیریز کو تیار کرنے والا نوجوان ایمرجنٹ ناول نگار 15 سال کا بوئڈ شپلیف تھا ، جس میں پریشان کن طریقوں اور بیک وقت اداس ترین موضوعات کی خصوصیت تھی جو اس طرح کے کاموں سے وابستہ ہوسکتی ہیں۔",0,0,0,0,0,0,0.752871215,0.805808187,0.778440773,0,
ڈبلیو ایچ اوڈن اور چیسٹر کالمین,"اس کام میں لیبریٹو ، جو امریکی مصنف نیل اسٹیفنسن نے لکھی تھی ، کو ""کریپٹونومیکن: ایک ناول"" کہا جاتا ہے اور دو مختلف دوروں میں ترتیب دیا گیا ہے۔",0.624438595,1.123099645,0.055555556,0,0.055555556,0.056818182,0.811507702,0.805590391,0.808538198,0,"اس کام کو لیبریٹو لکھی گئی تھی جس میں ایگور اسٹراونسکی نے کینٹاٹا سے پہلے ""جیو ڈی کارٹس"" نامی بیلے لکھا تھا ، جس میں مصنف نے ان کے تعاون میں ایم مالائیف کے تعاون سے لکھی تھی۔",0,0,0,0,0,0,0.807413876,0.818956971,0.813144445,0,"اس کام کو ""جیو ڈی کارٹس"" کا نام دیا گیا تھا جو 1936 میں ایگور اسٹراونسکی نے کینٹاٹا سے پہلے لکھا تھا ، اور مصنف کی طرف سے ایم مالائیف کے تعاون سے لکھا گیا ہے۔",0.515714271,0.969094302,0.047619048,0,0.047619048,0.053763441,0.817960024,0.827278495,0.822592854,0,
جمہوری,1942 میں پیدا ہونے والی سیاستدان جس نے پہلی بار سینیٹ کا عہدہ سنبھالا اس نے 1984 میں اپنی تیسری مدت کے لیے دوبارہ انتخاب جیت لیا تھا۔,0,0,0,0,0,0,0.70906049,0.731918991,0.720308423,0,سیاق و سباق فراہم نہیں کرتا,0,0,0,0,0,0,0.754456878,0.778812945,0.766441464,0,"یہ سیاستدان جان فرینکلن پروکٹر ہے ، جس نے الاباما قانون ساز اسمبلی میں خدمات انجام دیں اور اس کا گھر بعد میں جینیفر مولہان گرین ہولڈ ، مشی گن کے سابق گورنر البرٹ ای سلیپر ، مائیکل مائیکٹ ، اور لوئسینیا کی ریاست سینیٹرز کے نام پر رکھا گیا تھا۔ وہ چار سال ایوان نمائندگان میں خدمات انجام دینے کے بعد اپنی تیسری سینیٹ کی مدت میں ہیں۔",0,0,0,0,0,0,0.687658668,0.796988189,0.738297939,0,
مگادان,شہری علاقہ Ust-Omchug روس کے شہر مگادان کے شمال مغرب میں ہائی وے پر واقع ہے۔,1.230068629,2.445593937,0.117647059,0,0.117647059,0.192307692,0.772396088,0.869369447,0.818018854,0,"ایک مصنوعی ذہانت کی حیثیت سے، مجھے ان پٹ معلومات میں ناموں یا تفصیلات کا موازنہ کرنے یا یہ تعین کرنے کی صلاحیت نہیں ہے کہ ان میں سے کون سی شہری اور بندرگاہ ہیں. اگر آپ براہ مہربانی وضاحت کرنے یا اضافی معلومات فراہم کرنے کے قابل ہوسکتے ہیں تو ، میں آپ کی بہتر مدد کرنے کے لئے تیار ہوں گا۔",0,0,0,0,0,0,0.756729603,0.812661469,0.783698857,0,"مگادان اوبلاست کے ٹینکنسکی ضلع میں واقع شہری علاقہ اور انتظامی مرکز ، یوٹس -اومنچوق (روسی: Усть-Омчуг) کا شمال مغرب مگادان شہر سے 271 کلومیٹر دور ایک بندرگاہ ہے جو ٹائی خلیج میں ناگایو خلیج ، اوخوتسک سمندر اور کولیما خطے کے گیٹ وے کے طور پر کام کرتی ہے۔",0.366753025,0.686673295,0.039215686,0,0.039215686,0.078125,0.743332982,0.86071676,0.79772985,0,
Flevoland,"اپنی سیاق و سباق کی بنیاد پر ، ""بچاؤرا"" ضلع وارانسی میں واقع ہے ، جس میں شہر بھارت کی ریاست اتر پردیش میں واقع ہے۔",0,0,0,0,0,0,0.758926094,0.769086003,0.763972282,0,"مستقبل میں، ایک تاریخی شخصیت ابراہیم بوونو ڈی مسکیٹا کا مقام معلوم نہیں کیا جا سکتا کیونکہ اس سیاق و سباق میں کوئی ذکر نہیں کیا گیا ہے.",0,0,0,0,0,0,0.758877099,0.765245736,0.762048125,0,"چونکہ سوال ایک سیاق و سباق فراہم نہیں کرتا، مجھے اپنے ذاتی علم یا دستیاب معلومات کی بنیاد پر درست اور مناسب جواب دینے کے لئے مزید سیاق و سباق جانیے کے بغیر اس کا جواب فراہم کرنا مشکل ہے.",0,0,0,0,0,0,0.740868449,0.735325933,0.73808676,0,
گولڈبرگز,"جس شو کے لئے مائیکل وانڈماکر نے کمپوز کیا ہے اس کا نام """"جیو ڈی کارٹس"""" ہے ، جو ایگور اسٹراونسکی کی تین بیلوں میں سے ایک ہے جس کا عنوان ہے اور مائیکل وانڈماکر نے مصنف کے طور پر کام کیا ہے۔",0,0,0,0,0,0,0.768486857,0.856338978,0.810037851,0,"میں سیاق و سباق سے اس سوال کا مطلب درست طور پر سمجھ نہیں پا رہا ہوں ، کیونکہ یہ ان ناموں یا عنوانات کے بارے میں متعدد اختیارات فراہم کرتا ہے جو مائیکل وانڈماکر نے کمپوز کیے ہیں۔ براہ مہربانی مجھے مزید معلومات یا سیاق و سباق دیں تاکہ میں آپ کو زیادہ درست جواب فراہم کرسکوں۔",0,0,0,0,0,0,0.770814478,0.856455684,0.811381519,0,'پانلوپ کی قید: پریزن آف دی پیٹس',0,0,0,0,0,0,0.81680882,0.882104933,0.84820205,0,
امکان,"اس حقیقت سے پتہ چلتا ہے کہ آئرن میڈن ایک برطانوی ہیوی میٹل بینڈ تھا جس کی تشکیل باسسٹ اسٹیو ہیرس نے 1975 میں کی تھی اور پال ڈیانا ، ڈیو موری اور ڈوگ سیمپسن سمیت متعدد تبدیلیوں کے بعد 1980 میں اپنا خود ساختہ البم جاری کرنے والی تنظیم پر قبضہ کیا تھا۔",0,0,0,0,0,0,0.710613549,0.768500745,0.73842442,0,"رین وزرڈ کے بعد ایونینسنس نے 1991 میں قائم ہونے والے دوسرے بینڈ سے متاثر کیا ، جس کی بنیاد اس کے باسٹ اسٹیو ہیرس پر رکھی گئی تھی۔",0,0,0,0,0,0,0.727152348,0.784865677,0.754907608,0,"اس کے بعد ، اس نے 1991 میں قائم ہونے والے ایک دوسرے بینڈ سے متاثر کیا جس کی بنیاد اس کے باسسٹ اسٹیو ہیرس پر رکھی گئی تھی ، جو آئرن میڈن یا بلیک سٹون چیری نہیں ہے۔ یہ سیاق و سباق دیئے گئے سوال کا حوالہ دیتا ہے ، لیکن اس کی صحیح شناخت فراہم کرنے کے لئے ضروری معلومات نہیں ہیں۔",0,0,0,0,0,0,0.721410513,0.783054471,0.750969589,0,
وارنر بروس,"فلم ""ہاورڈ دی ڈک"" (1986) کی تقسیم یونائیٹڈ آرٹسٹس نے کی تھی، جس میں اداکار ٹومی سوڈلو اور ایک متبادل کاسٹ شامل تھا جو 30 اکتوبر 1964 کو پیدا ہوا تھا.",0,0,0,0,0,0,0.79168427,0.862600088,0.825622201,0,"اس فلم کو یونائٹڈ آرٹسٹس نے تقسیم کیا ، اور اداکار جو ان فلم میں کام کر رہے تھے وہ 30 اکتوبر ، 1964 کو پیدا ہوئے تھے۔",0,0,0,0,0,0,0.789120555,0.869771063,0.827485263,0,"اس سوال کی درست جوابی تفصیل یہ ہے: اس فلم کو والٹر ون جارج نے پروڈیوس کیا تھا ، مائلس کوناول اور کیتھرین سکولا نے لکھا تھا ، یونائیٹڈ آرٹسٹس کی تقسیم کرتے ہوئے جیک روسو کی ہدایت کاری میں بنی فلم کو گورو ونجر پروڈکشن نے تیار کیا تھا اور اس میں ٹومی سوڈلو ، ایوانسینس ، جیفری جیکٹ اور دیگر اداکار شامل ہیں۔",0,0,0,0,0,0,0.770904839,0.85764581,0.811965346,0,
بھرتناٹیم,"مدراس میں ""نیلا سیتھلنگم"" کو سرپرستی کرنے والا شخص کنکا چکرامونی ناتھ یا سریموتی ناتھ ہوگا جس کی شناخت کوروگرافر ہندوستانی تھیوسوفسٹ ہونے کے طور پر نہیں کی گئی ہے",0,0,0,0,0,0,0.748498797,0.784250975,0.765957952,0,"نیلہ سیتھلنگم مدراس میں کلاکشیترا کی ایک سابق طالبہ تھیں، جن کی سرپرستی سری متی کر رہی تھیں، جس کا تعلق ہندوستانی تھیوسوفسٹ اور رقص کی شکل بھرناتی سے تھا۔ انہوں نے ایک معروف فنکار بن گئے ، جنہیں ""مورک اینڈ مائنڈی"" کے شو میں یوجین کا کردار ادا کرنے پر سراہا گیا ہے۔",0,0,0,0,0,0,0.738168359,0.795591176,0.765804768,0,"کلاسکی ہندوستانی رقص کی ایک سابق طالبہ نیلہ سیتھلنگم مدراس میں تھی ، جہاں ان کے سرپرست سری متی تھے ، جو ہندوستانی تھیوسوفسٹ اور رقص کی شکل کی کوریوگرافر تھے۔",0,0,0,0,0,0,0.747068763,0.777475059,0.761968732,0,
ٹرنر براڈکاسٹنگ,"""پینیلوپ پرنسس آف پیٹس""",0,0,0,0,0,0,0.840732872,0.866674066,0.853506386,0,"''اس ویب سائٹ کا نام ''پینیلوپ پرونس آف پیٹس' ہے کیونکہ یہ جوزف سالوٹور ""سکینی جوئی"" مرلینو کا پورا نام ہے، جو ایک امریکی مافیا اور اداکار ہے. وہ اپنے فلمی کرداروں میں اپنی ولن کی صلاحیتوں کے لئے جانا جاتا ہے، جیسے ""جیا منڈے را"" اور ""چیناکشاوا ریڈی"".",0,0,0,0,0,0,0.77932924,0.844123483,0.810433328,0,"""اس ویب سائٹ کا نام """"پینیلوپ پرنسس آف پیٹس"""" ہے۔",0,0,0,0,0,0,0.820584476,0.859148502,0.839423776,0,
ہالووین,"ایو آرڈن نے ""مائیکل"" نامی فلم میں ایک چھوٹا سا کردار ادا کرتے ہوئے اپنا فلمی آغاز کیا جبکہ جینیفر لوپیز نے پہلی بار دوسری فلم ""دی ریگ"" اور بعد میں ""اوینجرز: اینڈ گیم"" میں اداکاری کرکے اپنا فلمی آغاز کیا۔",0,0,0,0,0,0,0.772785127,0.870774567,0.818858802,0,"آپ نے سیاق و سباق میں نام بتایا تھا ، جس سے پتہ چلتا ہے کہ ان کی پہلی فلم ""دی ریگ"" تھی۔",0,0,0,0,0,0,0.82289362,0.870316029,0.845940769,0,"""دی ریگ""",0,0,0,0,0,0,0.875642538,0.874880791,0.875261486,0,
روٹ 160,"نیویارک شہر میں واقع ایکسپریس بس روٹ نے جرنل آف نیورو سرجری کی بنیاد رکھی، جسے ڈاکٹر جان اے جین کا نام دیا گیا تھا۔",0.757573123,1.506189323,0.074074074,0,0.074074074,0.111111111,0.756637454,0.82741636,0.790445685,0,"ایکسپریس بس روٹ ، 160 یا 210 ، نیورو سرجری کی بنیاد نہیں رکھتا ہے۔",1.571887736,3.125190764,0.235294118,0,0.235294118,0.294117647,0.802514911,0.857161224,0.828938484,0,"ایکسپریس بس روٹ جو ایک ہسپتال جاتا ہے جس نے نیورو سرجری کی بنیاد رکھی اس کا حوالہ جان اے جین سے دیا گیا ہے ، جو یونیورسٹی آف ورجینیا میں نیورو سرجن تھا۔",0.547487071,1.088501105,0.055555556,0,0.055555556,0.094339623,0.760035634,0.829693317,0.793338358,0,
امبارساریہ,"دلجیت دوسنجھ نے 2016 میں پنجابی فلم ""امبارساریہ"" میں اداکاری کی تھی۔",0,2.839838723,0,0,0,0.208333333,0.79874754,0.892287195,0.842930317,0,"دوسری فلم ""امبارساریہ"" میں اداکاری کی جبکہ پریتی بورتاکور نے 'نائک' اور 'ناباجیبون' میں اداکاری کی، لوری اسٹروڈ نے 1978 میں جان کارپینٹر کی فلم ہالووین میں اداکاری کی اور مس انڈیا ورلڈ وائیڈ کا مقابلہ گرائز کنسلٹ نے 2016 میں منعقد کیا تھا۔",0,0.794752929,0,0,0,0.081967213,0.752923787,0.889067531,0.815351546,0,"""امبارساریا"" 2016 کی ایک فلم تھی جس میں دلجیت دوسنجھ نے اداکاری کی تھی۔",0,0,0,0,0,0,0.798514128,0.897488236,0.845113277,0,
"519،000 مربع فٹ","ون اسٹار ورلڈ کیسینو اور گولڈ ماؤنٹین کیسینو دونوں اوکلاہوما میں مقامات پر واقع ہیں ، لیکن وہ مختلف شہروں آرڈمور اور ڈنکن میں واقع ہیں۔",0,0,0,0,0,0,0.755760491,0.811868429,0.78281039,0,"گولڈ ماؤنٹین کیسینو اور ون اسٹار ورلڈ کیسینو اپنے ملکیت، چلانے اور مقام کی بنیاد پر مختلف کیسینوز ہیں. گولڈ ماؤنٹین کیسینو آرڈمور ، اوکلاہوما میں واقع ایک مقامی امریکی کیسینو ہے اور اس کی ملکیت اور چلانے والی چیکوس نیشن ہے۔ یہ اصل میں ون اسٹار ورلڈ کیسینو کے نام سے جانا جاتا تھا ، لیکن اب یہ گولڈ ماؤنٹین کیسینو کے طور پر کام کر رہا ہے۔ دوسری طرف ، ون اسٹار ورلڈ کیسینو آرڈمور میں ایک مختلف کیسینو تھا اور یہ اوکلاہوما کی چیکاسو نیشن بھی نہیں ہے۔ چونکہ آپ نے دی گئی معلومات صرف ان دو ناموں کو شامل کرنے کے لئے استعمال کیا ، لہذا دونوں ایک ہی جگہ پر واقع نہیں ہوسکتے ہیں اور مختلف مالکان ہوسکتے ہیں۔",0,0,0,0,0,0,0.725505948,0.784497619,0.753849447,0,"ون اسٹار ورلڈ کیسینو اور گولڈ ماؤنٹین کیسینو دونوں مقامی امریکی قائم کردہ کیسینوز ہیں ، جن کی ملکیت چکاسو نیشن کے ذریعہ کی جاتی ہے اور وہ اوکلاہوما میں واقع ہیں۔ دونوں سیاحوں کو ایسٹرن اوکلاہوما علاقے کے اندر پیش کرنے کی خدمت کرتے ہیں ، اور وہ امریکی ریاست نیو جرسی میں واقع اپنے ہیڈکوارٹرز سے چلائے جاتے ہیں۔",0,0,0,0,0,0,0.728736758,0.797918916,0.761760354,0,
ساتواں,اس سوال کو اس سیاق و سباق سے مناسب طریقے سے جواب دینا مشکل ہے کیونکہ یہ متن منسلک متغیرات کا استعمال کرتا ہے جو مختلف اداروں یا شعبے سے تعلق رکھتے ہیں۔ یونیورسٹی میں اسکولوں کی تعداد جیسے جواب دینے والی معلومات کا پتہ نہیں لگایا گیا ہے یا سیاق و سباق میں موجود متن سے بیان نہیں کیا گیا ہے۔,0,0,0,0,0,0,0.739222169,0.852379978,0.791778505,0,"اس سوال کا کوئی براہ راست جواب نہیں دیا گیا ہے کیونکہ معلومات اس یونیورسٹی کا حوالہ دیتی ہیں جس میں بیری سوئزر سینٹر واقع ہے اور نالج اسٹریٹ آف چارٹر اسکول، لیکن سیاق و سباق کے مطابق، یونیورسٹیوں کی فہرست (اوکلاہوما یونیورسٹی، اسٹینفورڈ یونیورسٹی اور ورسیٹر) یا ڈینیویر سٹیر ٹیلر سینٹر میں اسکولوں کی تعداد کا ذکر نہیں کیا گیا ہے.",0,0,0,0,0,0,0.737693429,0.850975394,0.790295601,0,اس یونیورسٹی میں وہ اسکول جہاں ڈین ڈبلیو ریچار اسٹیر ٹیلر سینٹر کے ایگزیکٹو ڈائریکٹر ہیں وہ اوکلاہوما یونیورسٹی میں بیری سوئزر سینٹر ہے۔,0,0,0,0,0,0,0.746535242,0.857143283,0.798024893,0,
ریلوے ماڈل کاریگر,"میگزین جن میں سے ایک ماڈل کاریگر اور دوسرا سوائررز ہیں، وہ کس ترتیب میں قائم کیے گئے تھے؟",2.153320854,4.048892532,0.181818182,0.1,0.181818182,0.390625,0.787353575,0.839931667,0.812793195,0,"یقینا، سب سے پہلے قائم ہونے والا میگزین ""سوکرنرز"" تھا.",0,0,0,0,0,0,0.786621571,0.800487638,0.793494046,0,"""فارچون"" سب سے پہلے قائم کیا گیا تھا، کیونکہ اسے 1929 میں قائم کیا گیا تھا اور یہ ایک بین الاقوامی کاروباری میگزین ہے. تاہم ، یہ نوٹ کرنا ضروری ہے کہ ""ریلوے ماڈل کاریگر"" خود کو ریاستہائے متحدہ میں اپنی قسم کا سب سے قدیم میگزین کے طور پر فروغ دیتا ہے اور بہت ساری مشترکہ خصوصیات رکھتا ہے ، جیسے ان کی بنیاد کی تاریخ اور مقامی کاروباری دنیا کے موضوعات کو درستگی فراہم کرنا۔",0.235559528,1.635032261,0.025,0,0.025,0.267676768,0.765537798,0.816929698,0.790399253,0,
1977ء میں,"فیملی گائے کی قسط ""کینی، کوہوگ مارش میلو"" چیری چیواپراڈومرونگ کے ذریعہ لکھا گیا تھا اور یہ 2016 میں نشر ہونے والی ایک قسط ہے۔",0.757573123,1.387819278,0.074074074,0,0.074074074,0.106382979,0.755770028,0.826036811,0.789342701,0,"2016 میں پیدا ہونے والے پروڈیوسر چیری چیواپراڈومرونگ نے فیملی گائے کا ایکشن ""کینڈی، کوہوگ مارش میلو"" لکھا تھا۔",1.018242565,1.816084942,0.095238095,0,0.095238095,0.12195122,0.747784078,0.829267442,0.786420763,0,"فیملی گائے کی قسط ""کینی ، کوہوگ مارش میلو"" کس سال پیدا ہوئی اس کا جواب سوال کے سیاق و سباق سے نہیں ملتا ہے کیونکہ پوری معلومات فراہم کرنے والے سیاق و سباق کا درست اور مکمل انتخاب نہیں دیا گیا تھا۔",0,0,0,0,0,0,0.734204352,0.810632408,0.77052778,0,
41۔,"آئرش قانون سازوں نے ایک قومی قانون سازی کا بل منظور کیا جس میں چار ارکان شامل ہیں اور ""آئرلینڈ کونسل"" نام رکھا گیا ہے، جو ٹالبٹ، ہال کمبربیچ، کلیمینس، روپرٹ ایور، ایڈیلیڈ، میریٹ ڈف، جیک، اسٹیون اور میرینڈٹ کی قیادت میں تھا. ووٹنگ کا نتیجہ ""السٹر عہد نامہ"" کی حمایت پر نکلا، اور اس کے بعد ""السٹر یونین کونسل"" کا انتخاب کیا گیا۔",0,0,0,0,0,0.051020408,0.715548992,0.892029762,0.794102311,0,"فرض کریں کہ سیاق و سباق اس سوال سے مطابقت نہیں رکھتا ہے ، تو یہ سمجھنا آسان ہوگا کہ ""آئرلینڈ کونسل"" ایک قانون سازی اتھارٹی تھی جو ان گورنرز کو مشورہ فراہم کرنے اور حکومت کے اختیارات کی تفویض کرنے پر قائم کی گئی تھی۔",0,0,0,0,0,0.074626866,0.727079511,0.887887657,0.799477458,0,جنوبی آئرلینڈ کی پارلیمنٹ (انگریزی: Parliament of Southern Ireland) آئرش حکومت کی طرف سے قائم ایک قانون ساز ادارہ تھا جو آئرش جنگ آزادی کے دوران چوتھے ہوم رول بل کے تحت قائم کیا گیا تھا,0,0,0,0,0,0,0.721272826,0.783336997,0.751024842,0,
سپائیک جونز,"اس نے 2009 میں ایک فلم ، میکسیکو ریکارڈز بنائی جس میں انہوں نے ایک کردار ادا کیا۔ یہ فلم ایک فینٹسی ڈرامہ تھی۔",0,0,0,0,0,0,0.792852044,0.834442139,0.813115597,0,میکس ریکارڈز فینٹسی ایکشن ایڈونچر فلم تھی جس میں اس نے ایک ہی وقت میں دو کردار ادا کیے تھے - ٹام گریو اور لوسیانا چنگنل۔,0,0,0,0,0,0,0.796453118,0.835913777,0.815706491,0,"""اس نے 2009 میں ایک فلم ""میکس ریکارڈز"" کے لئے ایک فینٹسی ڈرامہ فلم کی ہدایت کاری کی جس میں انہوں نے ایک کردار ادا کیا۔ اس کی حمایت جے بی کارلن کے ذریعہ ہدایت کردہ ایک ویڈیو نے کی۔ وہ """"دی سکاٹسبورو بوائز"""" (2014) میں ہیورڈ پیٹرسن اور براڈوے کے """"شفل الونگ"""" (1921) میں ایوبی بلیک کا کردار ادا کر رہے ہیں۔",0,0,0,0,0,0,0.747063041,0.8144207,0.779289067,0,
واڈنگٹن,"لنکن شائر میں گاؤں کا نام لنکن سے لنکن لائن تک گرینتھم پر واقع ہے ، اور یہ 4 میل دور جنوب میں واقع ہے۔",0,0,0,0,0,0,0.776973367,0.850157082,0.811919391,0,سائڈنہم ڈیمر,0,0,0,0,0,0,0.879121721,0.906427622,0.892565846,0,"لنکن شائر کے شمال میں لنکن سے لنکن لائن تک گرینتھم پر واقع گاؤں ووڈنگٹن ہے ، اور یہ جنوب میں 4 میل دور واقع ہے۔",0,0,0,0,0,0,0.780845046,0.858459234,0.817814827,0,
رائل جامنی,"میں جو سیاق و سباق فراہم کر سکتا ہوں وہ صرف مختلف مقامات اور اسکولوں کے بارے میں معلومات دیتا ہے ، لیکن ان میں کوئی کالج شامل نہیں ہے جس میں والٹر ہارٹ ویل وائٹ یا جو ہیزنبرگ نے تعلیم حاصل کی تھی۔",0,0,0,0,0,0,0.776182532,0.809470057,0.792476833,0,"مجھے افسوس ہے، لیکن میرے پاس اضافی معلومات نہیں ہیں. آپ براہ مہربانی سیاق و سباق میں اس مخصوص کالج کا ذکر تلاش کریں جس سے آپ مراد رکھتے ہیں ، یا آپ کو مزید تفصیلات فراہم کرنے کی ضرورت ہوسکتی ہے تاکہ میں آپ کے سوال کا بہتر جواب دے سکوں۔",0,0,0,0,0,0,0.756135285,0.80916959,0.781754017,0,جو ہولسنگر نے پروویڈنس کالج میں تعلیم حاصل کی اور ان کی کالج ٹیم پروویڈنس فریئرز کے لئے چوتھی جماعت تھی۔,0,0,0,0,0,0,0.783041716,0.814581335,0.79850018,0,
637 میٹر,لیک ڈسٹرکٹ نیشنل پارک میں برکر فیل کی چوٹی سے اونچائی تقریبا 321 میٹر (1053 فٹ) ہے۔,1.150278362,2.024446266,0.105263158,0,0.105263158,0.131578947,0.757673681,0.876096308,0.812593102,0,"لیک ڈسٹرکٹ نیشنل پارک میں خاص طور پر گرنے کی اونچائی کیا ہے اس کا درست تعین کرنا ممکن نہیں ہے کیونکہ فراہم کردہ سیاق و سباق سے پتہ نہیں چلتا ہے کہ آیا سوال لیک ڈسٹرکٹ نیشنل پارک کے اندر کسی مخصوص گرنے یا علاقے کی اونچائی کے بارے میں پوچھ رہا ہے ، یا ایسی کوئی معلومات فراہم کر رہا ہے جو اس بات کی نشاندہی کرتی ہے کہ سوال پارک سے باہر کسی بھی مخصوص گرنے یا اونچائی سے متعلق ہوسکتا ہے۔",0,0,0,0,0,0,0.714399219,0.832546771,0.768961251,0,"لیک ڈسٹرکٹ نیشنل پارک میں مخصوص گرنے کی اونچائی کا کوئی ذکر یا حوالہ دیا گیا نہیں ہے۔ تاہم ، لیک ڈسٹرکٹ نیشنل پارک ایک بہت بڑا علاقہ ہے اور گرنے کا مقام اور اونچائی مخصوص مقام پر منحصر ہوسکتی ہے۔",0,0,0,0,0,0,0.733623803,0.78713274,0.759436965,0,
ہینکوک کپڑے,"فرض کریں کہ سیاق و سباق میں سوال کو حل کرنے کے لئے کسی مخصوص اسٹور یا کمپنی کی معلومات فراہم نہیں کی گئی ہیں ، تو ایک ممکنہ جواب یہ ہوسکتا ہے:

آج کل دیوالیہ پن کی تصفیہ میں موجود اسٹور کا نام جس کا صدر دفتر گیٹ وے فیشن مال میں واقع ہے ، دستیاب معلومات سے پتہ نہیں چل رہا ہے۔",0,0,0,0,0,0,0.767249107,0.836742461,0.800490379,0,"موجودہ معلومات کی بنیاد پر ، گیٹ وے فیشن مال (انگریزی: Gateway Fashion Mall) بسمارک ، شمالی ڈکوٹا میں واقع ایک امریکی شاپنگ مال اس وقت دیوالیہ پن کی تصفیہ کے عمل سے گزر رہا ہے۔",0,0,0,0,0,0,0.778410912,0.846095204,0.81084305,0,فی الحال دیوالیہ پن کی تصفیہ میں گیٹ وے فیشن مال میں واقع کبھی ایمیز براڈکاسٹنگ کمپنی یا بلیک اسٹون چیری نہیں ہوتا تھا۔,0,0,0,0,0,0,0.79464817,0.855703354,0.824046373,0,
