,Title,Content
1393,Take You There (Sean Kingston song),"""Take You There"" is the third single by Sean Kingston from his self-titled debut album.  It was produced by JR Rotem.  The song was co-written by Jonathan ""J.R."" Rotem, Kingston, Evan ""Kidd"" Bogart, Rock City, and Eric Bluebaum.  The song is about Kingston taking his girlfriend on a date to the West Indies, particularly his native Jamaica.  As he told noted UK urban writer Pete Lewis of Blues & Soul in June 2007: ""In 'Take You There' I'm basically telling a girl 'Let me take you to where I'm from - to Jamaica, to the paradise and to the slums!' .  Because, while many people just think of the tropical beaches, there is definitely another, rugged side to the island too!"""
1394,Me Love,"""Me Love"" is the second single by Sean Kingston from his debut album ""Sean Kingston"".  It is produced by J.R. Rotem and samples Led Zeppelin's song ""D'yer Mak'er"" from their 1973 album ""Houses of the Holy""."
1395,There's Nothin,"""There's Nothin"" is the fourth single from Sean Kingston's self-titled debut album.  The single features Élan of The D.E.Y. and Juelz Santana.  The album version features Paula DeAnda.  The song was produced by J.R. Rotem and co-written by Sean Kingston and Evan ""Kidd"" Bogart."
1396,Dumb Love,"""Dumb Love"" is a song by American recording artist Sean Kingston.  The song was originally released as the third single from Kingston's third studio album, ""Back 2 Life"", but was taken off for unknown reasons.  It was released on September 7, 2010 as a digital download in the United States.  It has peaked at number 84 on the ""Billboard"" Hot 100 and 92 on the Canadian Hot 100.  The song rose to popularity due to Sean's appearance and performance of the song on The Suite Life on Deck. The song was written by Ari Levine, Philip Lawrence, Bruno Mars, Steven Battey and Carlos Battey, and the song's chorus interpolates elements from ""Come Go With Me"" (1957) by The Del-Vikings, as written by Clarence Quick."
1397,Eenie Meenie,"""Eenie Meenie"" is a song by American singer Sean Kingston and Canadian singer Justin Bieber.  The song was written by Kingston, Bieber, Carlos Battey, Steven Battey, Benny Blanco, Marcos Palacios and Ernest Clark, and was produced by Blanco.  It was originally released as the first single from Kingston's third studio album ""Back 2 Life"" on March 23, 2010, but was taken off for unknown reasons.  However, it is included on Bieber's ""My World 2.0"".  The song, a dance-pop number with Kingston's reggae influences and Bieber's R&B vocals, is lyrically about an indecisive lover."
1398,Sean Kingston (album),"Sean Kingston is the eponymous debut album by Sean Kingston, released on July 31, 2007.  The album was produced by J. R. Rotem.  Sean Kingston wrote the lyrics with help from Evan Bogart.  Kingston has claimed his lyrics are totally representative of his personal life.  Ranging from the self-deprecating-schoolboy tale of lost love in the album's global chart-topping single ""Beautiful Girls"" to the much deeper ""Dry Your Eyes"", where he visits the hardship of watching his mother and sister being sent to prison when he was just 15 years old."
1399,Letting Go (Dutty Love),"""Letting Go (Dutty Love)"" is a song by American recording artist Sean Kingston.  It was produced by Stargate, and features Trinidadian recording artist Nicki Minaj.  The song was originally released as the second single from Kingston's third studio album, ""Back 2 Life"", but was taken off for unknown reasons.  The song samples Rihanna's ""Te Amo"" which was also produced by the same production team, Stargate.  As of December 2014, the song has sold 1.1 million copies in the United States."
1400,Meital Dohan,"Meital Dohan (Hebrew: מיטל דוהן‎ ‎ ; born 24 August 1979) is an Israeli award-winning actress in theater, film, and television; including two Israeli Oscar nominations and an Israeli Tony Award.  In Israel she was part of major productions such as, ""Dancing with the Stars"", ""Ugly Betty"", ""Romeo and Juliet"", and many more.  US audiences were first introduced to Meital as Yael Hoffman on Showtime series ""Weeds"", and as Aurora in the Sony Pictures web-comedy ""Woke Up Dead"". , co-starring Jon Heder and Wayne Knight.  Meital also stars in ""Foreclosure"" with Michael Imperioli and Wendell Pierce and thriller ""Monogamy"", (Oscilloscope), co-starring Chris Messina and Rashida Jones, won the Best Narrative Feature at the Tribeca Film Festival.  In early 2012 she caught the attention of hip-hop producer Che Pope (Lauryn Hill, Eminem, Dr. Dre) and they began to record her debut album ""I'm In Hate With Love"".  The international attention she received for her first single ""Yummy"" (Rami Afuni LMFAO) and the viral video led media outlets like MTV Buzzworthy, AOL, Artist Direct, Maxim, Yahoo and others to declare Meital as ""the next triple threat"".  MTV Buzzworthy said, ""She's also a comedian and a singer.  And she's pretty.  Why do some people get all the gifts?""  The song played on radio stations and in clubs around the world, trending No. 1 at Reverb Nation globally.  Her next single,""On Ya"" featuring Sean Kingston, charted No. 5 on the UK Club Pop Charts and No. 31 on the Billboard Club Chart.  Following the immediately successful collaboration with Sean Kingston on the hit single ""On Ya,"" ""Extra TV"", and ""Fox News"", Chart Show in UK, MTV UK, and German Pro Seiben TV have all been raving.  Both songs have been remixed by top DJs all over the world such as R3hab, Sidney Samson, Dave Aude, Danny Verde, DJ Reflex, DJ Skee, and others..."
1401,That's Gangsta,"""That's Gangsta"" is the first single from the Bun B album ""II Trill"".  It features Sean Kingston and is produced by J.R. Rotem.  The single peaked at #45 on the U.S. ""Billboard"" Hot R&B/Hip-Hop Songs chart.  The video is released on MTV2's Unleashed on April 21, 2008.  The video features cameos from Young Buck, Middle Fingaz, P$C, J Prince, LeBron James, Chamillionaire and Slim Thug.  There were also UGK Records artists Young T.O.E., XVII, B-Do and Big Bubb.  Sean Kingston didn't appear in the music video."
1402,Gloria Estefan singles discography,"The discography of singles, promo singles, remixes and Latin tracks for Cuban-American recording artist, Gloria Estefan and Miami Sound Machine consists of forty-nine singles (solo), eighteen promotional singles (solo) and eight other guest or special appearance singles as a solo artist.  Although Miami Sound Machine was no longer featured in the credits from 1989 onwards, they remain Estefan's backing group until this day, though none of the original members remain."
1403,Emilio Estefan,"Emilio Estefan Gómez (born March 4, 1953) is a Cuban-American (of Lebanese, and Spanish ancestry) musician and producer who has won 19 Grammy Awards.  Estefan first came to prominence as a member of the Miami Sound Machine.  He is the husband of singer Gloria Estefan and the uncle of Spanish-language television personality Lili Estefan."
1404,Destroy Rock &amp; Roll,"Destroy Rock & Roll is the first album by Scottish record producer and DJ Mylo (real name Myles MacInnes), released in 2004.  The album was re-released in 2005, containing a new remix of ""Drop the Pressure"", called ""Doctor Pressure"" (Vs. Miami Sound Machine), which was also released as a single.  It was named the 21st best album of the decade by ""Resident Advisor""."
1405,Hanson &amp; Davis,"Hanson & Davis was an East Coast-based freestyle/dance-pop duo comprising session singers Aaron Hanson and Edward J. Davis.  Although the group was not commercially successful as many similar freestyle musicians of the time (e.g. Lisa Lisa & Cult Jam or Miami Sound Machine), the group enjoyed popularity throughout clubs and urban radio stations."
1406,Miami Sound Machine,Miami Sound Machine is an American band of Latin-influenced music featuring the vocals of Cuban-born Gloria Fajardo García (later Gloria Estefan).  The band was established in 1975 originally as Miami Latin Boys by Emilio Estefan Jr. and became very successful after joining with Gloria García (Estefan) in 1977.
1407,Gloria Estefan,"Gloria Estefan (born Gloria María Milagrosa Fajardo García; September 1, 1957) is a Cuban-American singer, songwriter, actress, and businesswoman.  She started off her career as the lead singer in the group called ""Miami Latin Boys"" which was eventually known as Miami Sound Machine."
1408,Cuts Both Ways,"Cuts Both Ways is the debut solo album by American recording artist Gloria Estefan and final album with Miami Sound Machine, as they would become her backup band for her solo career after its release.  Although Estefan's name is on the front cover, the album credits Estefan and Miami Sound Machine (as with the previous album, ""Let It Loose"")."
1409,Doctor Pressure,"""Doctor Pressure"" is a mash-up of the songs ""Drop the Pressure"" from Mylo and Miami Sound Machine's ""Dr. Beat"".  Originally created in October 2004 by mashup duo Phil n' Dog, the song was released as a single on 5 September 2005 and peaked at number three on the UK Singles Chart (where it was the highest-charting single for both acts), number five on the Irish Singles Chart and number 12 on the Australian ARIA Singles Chart.  It was also a number-one Dance Hit in the UK and over all Europe.  The Feeling covered the song on 3 March 2006 for BBC Radio 1's Live Lounge."
1410,Me Estoy Enamorando (album),"Me Estoy Enamorando (English: ""I'm Falling in Love"" ) is the sixth studio album by Mexican singer Alejandro Fernández.  It was released by Sony Music Mexico on 23 September 1997.  It marks a musical style change where Fernández performs pop ballads and boleros as opposed to ranchera music.  His decision to record a pop album transpired after having aspirations to expand his audience.  Fernández asked Emilio Estefan to produce his next project after listening to ""Mi Tierra"" (1993) by his wife Gloria Estefan.  Recording took place at Estefan's Crescent Moon Studios in Miami, Florida.  Estefan's partner Kike Santander co-produced the recording along with Estefan and composed most of the album's tracks.  The musical style consists of pop-boleros with ranchera influences while the lyrics reflect the theme of love.  Four singles were released from the album: ""Si Tú Supieras"", ""En El Jardín"" (a duet with Gloria Estefan), ""No Sé Olvidar"", and ""Yo Nací Para Amarte"".  Each of them reached number one on the ""Billboard"" Hot Latin Songs chart in the United States.  A tour to promote the album was launched in the US and Latin America."
1411,Let It Loose (album),"Let It Loose/Anything for You is the 10th studio album by Gloria Estefan and Miami Sound Machine, released in 1987.  It is the first studio album credited to Estefan as a solo artist, but is her 10th album overall including her work with Miami Sound Machine.  The album was re-released under a new title Anything for You and new cover art in Europe, South Africa, Australia and New Zealand, starting in October 1988 through early 1989."
1412,The International Alliance for Women,"The International Alliance for Women (TIAW), formerly known as The National Alliance (1980–1986) and The International Alliance of Professional and Executive Women (TIA) (1986–2002), is a nonprofit corporation founded in 1980 to promote the interests of professional women.  It adopted its current name in 2002, and should not be confused with the much older human rights organization International Alliance of Women."
1413,The Day (New London),"The Day newspaper, formerly known as The New London Day, is a local newspaper based in New London, Connecticut published by The Day Publishing Company.  The newspaper has won Newspaper of the Year and the Best Daily Newspaper Award from the New England Press Association.  It has twice won the Horace Greeley Award for ""courage and outstanding effectiveness in serving the public.""  It has won the American Society of Newspaper Editors Example of Excellence in Small Newspaper award and the Columbia Journalism Review has listed it as one of the top 100 newspapers in the country with a circulation of less than 100,000 copies."
1414,National Blood Clot Alliance,The National Blood Clot Alliance or NBCA for short (Formerly known as the National Alliance for Thrombosis and Thrombophilia or NATT) is a United States nationwide not for profit alliance of patients and medical professionals committed to raising awareness about thrombosis and thrombophilia and is dedicated to preventing and treating health problems caused by blood clots and blood clotting disorders.
1415,Ruff n Smooth,"Ruff n Smooth is a Ghanaian based music group made up of Ruff/Bullet (Ricky Nana Agyemang) & Smooth/Akhan (Clement Baah Foh).  Although both have been on the music scene for a while, it was not till they formed an alliance that they both gained prominence.  Prior to this alliance, Bullet was formerly known as Etuo Aboba (meaning Bullet) and Akhan known as Osrane (meaning Moon)."
1416,Frontera (Tijuana),"Frontera is a daily newspaper that serves the San Diego–Tijuana metropolitan area.  It was founded in 1999 under an alliance between the ""Crónica"" of Mexicali and ""El Imparcial"" of Hermosillo.  It has recently converted from a broadsheet to a tabloid."
1417,Alliance of Liberals and Democrats for Europe,"The Alliance of Liberals and Democrats for Europe (ALDE; French: ""Alliance des Démocrates et des Libéraux pour l'Europe"" , ADLE) is a transnational alliance between two European political parties, the Alliance of Liberals and Democrats for Europe Party (formerly known as the European Liberal Democrat and Reform Party) and the European Democratic Party.  It has political groups in the European Parliament, the EU Committee of the Regions, the Parliamentary Assembly of the Council of Europe and the NATO Parliamentary Assembly.  There are assorted independents in these groups."
1418,Global Workspace Alliance,"The Global Workspace Alliance (GWA), headquartered in Amsterdam, the Netherlands, is the world´s first alliance of IT service providers.  Formerly known as the Getronics Workspace Alliance, it was founded in 2009 by Getronics and 6 other service partners.  In 2015, the GWA went through a transformation, and was re-launched with Getronics and CompuCom in the lead as the Global Workspace Alliance.  Other partners include Tecnocom, SPIE ICS, S&T, Centric, Infocare, NSC, AGCN, Eire Systems and TopNew Info."
1419,Hermosillo,"Hermosillo (] ), formerly called Pitic (as ""Santísima Trinidad del Pitic"" and ""Presidio del Pitic"") is a city located centrally in the northwestern Mexican state of Sonora.  It is the capital and largest city as well as the main economic center for the state and region.  It contains almost all of the state's manufacturing and has thirty percent of its population.  The major manufacturing sector is automobiles, which was begun in the 1980s, when Ford built the Hermosillo Stamping & Assembly Plant."
1420,Circuito de Jerez,"Circuito de Jerez (Circuit of Jerez), formerly known as Circuito Permanente de Jerez, is a 4.428 km racing circuit located close to the city of Jerez de la Frontera, 90 km (55 mi) south of Seville and deep within the sherry-producing south of Spain.  The project was led by the Spanish engineer Manuel Medina Lara, based on a preliminary idea from Alessandro Rocci."
1421,Pacific Islands Trade and Investment Commission,"Formerly known as the Pacific Islands Trade and Investment Commission (PITIC) Pacific Islands Trade & Invest is now the leading trade and investment facilitation organisation in the Pacific Islands region with a specific focus on export facilitation, investment and tourism promotion."
1422,Finniss River,"Finniss River is the name of two rivers in Australia, both named after colonial surveyor Boyle Travers Finniss."
1423,Local government areas of the Northern Territory,"The Northern Territory is a federal Australian territory in the central and central northern regions of Australia.  It is the third largest Australian federal division with an area of 1349129 km2 but the least populous with 211,945 inhabitants.  The Northern Territory is divided administratively into 17 Local government areas (LGAs) generally known as Councils who are responsible for providing local government services."
1424,John Baker (Australian politician),"John Baker (28 December 1813 – 19 May 1872) was an early South Australian pastoralist and politician.  He was the second Premier of South Australia, succeeding Boyle Travers Finniss; however, he only held office for 12 days from 21 August to 1 September 1857 before being succeeded by the third Premier of the colony, Robert Torrens."
1425,William Scott-Elliot,"William Scott-Elliot (sometimes incorrectly spelled Scott-Elliott) (1849-1919) was a theosophist who elaborated Helena Blavatsky's concept of root races in several publications, most notably ""The Story of Atlantis"" (1896) and ""The Lost Lemuria"" (1904), later combined in 1925 into a single volume called ""The Story of Atlantis and the Lost Lemuria"".  In 1893 he married Matilda (Maude) Louise Travers (1859-1929), daughter of Dr Robert Boyle Travers F.R.C.S., of Farsid Lodge, Rostellan, County Cork, Ireland."
1426,Heard Island and McDonald Islands,"The Territory of Heard Island and McDonald Islands (abbreviated as HIMI) is an Australian external territory comprising a volcanic group of barren Antarctic islands, about two-thirds of the way from Madagascar to Antarctica.  The group's overall size is 372 km2 in area and it has 101.9 km of coastline.  Discovered in the mid-19th century, the islands have been an Australian territory since 1947 and contain the country's only two active volcanoes.  The summit of one, Mawson Peak, is higher than any mountain on the Australian mainland.  The islands lie on the Kerguelen Plateau in the Indian Ocean."
1427,Supreme Court of the Northern Territory,"The Supreme Court of the Northern Territory is the superior court for the Australian Territory of the Northern Territory.  It has unlimited jurisdiction within the territory in civil matters, and hears the most serious criminal matters.  It is around the middle of the Australian court hierarchy."
1428,B. T. Finniss,"Boyle Travers Finniss (18 August 1807 – 24 December 1893) was the first Premier of South Australia, serving from 24 October 1856 to 20 August 1857."
1429,Electoral district of Finniss,"Finniss is an electoral district of the House of Assembly in the Australian state of South Australia.  It is named after B. T. Finniss, the first Premier of South Australia.  It covers a 5,875 km² regional area which includes Kangaroo Island, the Fleurieu Peninsula, and the towns of Kingscote, Middleton, Mount Compass, Penneshaw, Port Elliot, Sellicks Beach, Victor Harbor and Yankalilla."
1430,Finniss Ministry,"The Finniss Ministry was the 1st Ministry of the Government of South Australia, led by B. T. Finniss.  It commenced on 24 October 1856 with the introduction of responsible government in South Australia, and the nomination by Governor Richard Graves MacDonnell of Finniss, the appointed Chief Secretary, as the first Premier of South Australia.  The ministry operated for several months prior to the 1857 colonial election, which would elect the first House of Assembly.  The first House of Assembly was elected in March 1857 and met in April.  The Finniss Ministry was succeeded by the Baker Ministry on 21 August 1857, following their defeat on a confidence motion in the new House."
1431,Northern Territory,"The Northern Territory (abbreviated as NT) is a federal Australian territory in the central and central northern regions of Australia.  It shares borders with Western Australia to the west (129th meridian east), South Australia to the south (26th parallel south), and Queensland to the east (138th meridian east).  To the north, the territory is bordered by the Timor Sea, the Arafura Sea and the Gulf of Carpentaria.  Despite its large area—over 1349129 km2 , making it the third largest Australian federal division—it is sparsely populated.  The Northern Territory's population of 244,000 (2016) makes it the least populous of Australia's eight major states and territories, having fewer than half as many people as Tasmania."
1432,Alice Stone Ilchman,"Alice Stone Ilchman (April 18, 1935 – August 11, 2006) served as the eighth president of Sarah Lawrence College from 1981 to 1998."
1433,George D. Miller III,"George Daniel Miller III (March 27, 1951) was the eighth president of Davis College in Johnson City, New York.  He is married to Elaine and they have 3 children."
1434,Marvin Krislov,"Marvin Krislov (born August 24, 1960) is the eighth president of Pace University in New York.  Prior to President Krislov’s appointment at Pace, he served for 10 years as the president of Oberlin College and nine years as the vice president and general counsel of the University of Michigan."
1435,Martin Van Buren National Historic Site,"Martin Van Buren National Historic Site is a unit of the United States National Park Service located 20 mi south of Albany, New York, or two miles south of the village of Kinderhook, New York in Columbia County.  The National Historic Site preserves the estate and thirty-six room mansion of Martin Van Buren, the eighth President of the United States.  Van Buren purchased the estate, which he named Lindenwald, in 1839 during his one term as President and it became his home and farm during his retirement."
1436,Sarah Lawrence College,"Sarah Lawrence College is a private liberal arts college in the United States.  It is located in southern Westchester County, New York, in the city of Yonkers, 15 mi north of Manhattan."
1437,Caleb Ayer,"Caleb R. Ayer (1813–1883) was an American politician from Maine.  Ayer graduated from Dartmouth College in 1834 and was admitted to the bar in 1838.  He was an associate of Nathan Clifford and moved to Cornish in York County in 1841.  Six years later in 1847, Ayer was elected as a Democrat to the Maine State Senate and served as Senate President in 1848.  In 1856, he served as the Secretary of State of Maine under Governor Samuel Wells.  He served as the York County Attorney General from 1868-70.  He died in 1883.  The Caleb R. Ayer House in Cornish is listed on the National Register of Historic Places."
1438,Ichabod Crane Central School District,"Kinderhook (Ichabod Crane) Central School District is located in between the Catskill and Berkshire mountains and serves a population of 8,296 residents in northern Columbia and southern Rensselaer counties.  The district is in a rural setting 26 miles southeast of New York's capital, Albany, 15 miles (24 km) northeast of Hudson, and 120 miles north of New York City.  The Ichabod Crane Central School District was formed in 1954, incorporating seven community schools into one centralized district.  Currently there are three buildings, down from five after in 2012 the district closed down the elementary school of Martin H. Glynn and Martin Van Buren, the latter named after Van Buren, who made his home in Kinderhook, served as a New York state attorney general, vice president under Andrew Jackson, and as the eighth president of the United States.  Glynn, raised in the village of Valatie, served as a U.S. representative, as well as the governor of New York from 1913 to 1915."
1439,Southern York County School District,"The Southern York County School District is a suburban, public school district in York County in the South Central region of Pennsylvania.  It serves: Codorus Township, Glen Rock, Railroad, New Freedom, Shrewsbury Township, Shrewsbury, and a portion of Hopewell Township.  Southern York County School District encompasses approximately 68 sqmi .  According to 2000 federal census data, it served a resident population of 18,592 people.  By 2010, the district's population increased to 20,858 people.  The educational attainment levels for the Southern York County School District population (25 years old and over) were 89.3% high school graduates and 26.5% college graduates."
1440,Julius Harburger,"Julius Harburger (1850 - November 9, 1914) was a New York City politician.  He was elected as the Sheriff of New York County, New York from 1911 to December 31, 1913.  He also served as the Coroner of New York County, New York in 1907 serving as the president of the board of coroners."
1441,John H. Peck,"John Hudson Peck was the eighth president of Rensselaer Polytechnic Institute.  He was born on February 7, 1838 in Hudson, New York.  He was a descendant of William Peck, one of the original founders of the New Haven Colony.  In 1859, he received a B.A. degree from Hamilton College.  He later received M.A. and L.L.D degrees from Hamilton.  He was admitted to the bar in New York State in 1861 and began to practice law in Troy, New York.  In 1883, he married Mercy P. Mann.  In the same year, he became a trustee of the Troy Female Seminary, which became the Emma Willard School.  He was also a trustee of the Episcopal diocese of Albany.  In 1888, he was appointed president of Rensselaer, and remained president for twelve years.  He died on May 4, 1919."
1442,Marienlyst Castle,"Marienlyst Castle, Danish ""Marienlyst Slot"", is a palacial residence located in Helsingør, Denmark.  It was named after King Frederik V of Denmark's second wife, Juliana Maria the queen consort of Denmark and Norway.  The building formerly served as a royal pavilion of Kronborg Castle and was mostly used as a venue for pleasure and hunting.  It was also used by the director-general of the Øresund Custom House, Colonel Adam Gottlob von Krogh and his wife Magdalene, between 1796 and 1847."
1443,"Frederick, Hereditary Prince of Denmark","Frederick, Hereditary Prince of Denmark (Danish: ""Frederik"" ; 11 October 1753 – 7 December 1805) was heir presumptive to the thrones of Denmark and Norway.  He was the surviving son of King Frederick V by his second wife, Juliana Maria of Braunschweig-Wolfenbüttel."
1444,"John Ryder, 5th Earl of Harrowby","John Herbert Dudley Ryder, 5th Earl of Harrowby (22 August 1864 – 30 March 1956), briefly known as Viscount Sandon from March to December 1900, was a British peer and Conservative Member of Parliament.  Harrowby was the son of Henry Dudley Ryder, 4th Earl of Harrowby, and Susan Juliana Maria Hamilton Dent."
1445,Margrethe von der Lühe,"Margrethe von der Lühe (1741–1826) was a Danish courtier; Mistress of the Robes to the Danish queen, Caroline Matilda of Great Britain from 1768 to 1770, and the queen dowager, Juliana Maria of Brunswick-Wolfenbüttel, from 1772 to 1784."
1446,Juliana Maria of Brunswick-Wolfenbüttel,"Juliana Maria of Brunswick-Wolfenbüttel-Bevern (Danish: ""Juliane Marie""; 4 September 1729 – 10 October 1796) was queen of Denmark between 1752 and 1766, second consort of king Frederick V of Denmark and Norway, mother of the prince-regent Hereditary Prince Frederick of Denmark and Norway and herself de facto regent 1772–1784.  King Christian VIII of Denmark descends from her."
1447,Princess Juliane Sophie of Denmark,"Juliane Sophie (18 February 1788, in Copenhagen – 9 May 1850, in Copenhagen) was a Princess of Denmark, the daughter of Frederick, Hereditary Prince of Denmark, who himself was a younger son of king Frederick V of Denmark in his second marriage to queen Juliana Maria of Braunschweig-Wolfenbüttel."
1448,"Charles VI, Holy Roman Emperor","Charles VI (1 October 1685 – 20 October 1740; German: ""Karl VI."" )  succeeded his elder brother, Joseph I, as Holy Roman Emperor, King of Bohemia (as Charles II), King of Hungary and Croatia, Serbia and Archduke of Austria (as Charles III) in 1711.  He unsuccessfully claimed the throne of Spain following the death of his relative, Charles II, in 1700.  He married Elisabeth Christine of Brunswick-Wolfenbüttel, by whom he had his two children: Maria Theresa, the last Habsburg sovereign, and Maria Anna, Governess of the Austrian Netherlands."
1449,Princess Eleonore of Schaumburg-Lippe,"Princess Eleonore-Christine of Schaumburg-Lippe (Eleonore-Christine Eugenie Benita Feodora Maria; born 22 December 1978 at Hørsholm, Denmark) is the daughter of Prince Waldemar of Schaumburg-Lippe and his first wife, Anne-Lise Johansen.  Princess Eleonore-Christine is a great-great-granddaughter of King Frederick VIII of Denmark.  Under Danish law, she is barred from succession to the Danish throne, as she is not a descendant of Christian X.  However, through her father, she is a descendant of King George II of Great Britain, and is therefore in line for the British throne."
1450,Ole Tidemand,"Ole Tidemand (31 October 1710–09 January 1778) was a Norwegian theologian and priest.  He served as a Bishop of the Diocese of Bjørgvin from 1757 until 1762 and then Bishop of the Diocese of Christianssand from 1762 until 1778.  Bishop Tidemand always had powerful friends in Copenhagen, the capital of the Kingdom of Denmark-Norway.  Most notably, the Dowager Queen Juliana Maria was a supporter of his.  Tidemand was a student and colleague of Bishop Erik Pontoppidan and a leader in the pietist movement in Norway."
1451,Christian VIII of Denmark,"Christian VIII (18 September 1786 – 20 January 1848) was the King of Denmark from 1839 to 1848 and, as Christian Frederick, King of Norway in 1814."
1452,Interstate 95 in New Hampshire,"Interstate 95, the main Interstate Highway on the east coast of the United States, cuts through the Seacoast Region of New Hampshire.  The majority of it, from the Massachusetts border to the Portsmouth Circle in Portsmouth, is the 14.29 mi Blue Star Turnpike or New Hampshire Turnpike, a toll road maintained by the New Hampshire Department of Transportation Bureau of Turnpikes.  The final piece in Portsmouth splits from the Turnpike south of the circle, running 2.42 mi to the Piscataqua River Bridge, a steel arch bridge, towards Maine and the Maine Turnpike.  In its short length through New Hampshire, Interstate 95 traverses six municipalities - Seabrook, Hampton Falls, Hampton, North Hampton, Greenland, and Portsmouth."
1453,"Hampton Beach, New Hampshire","Hampton Beach is a village district, census-designated place, and beach resort in the town of Hampton, New Hampshire, United States, along the Atlantic Ocean.  Its population at the 2010 census was 2,275.  Hampton Beach is in Rockingham County, about 15 mi south of Portsmouth.  The community is a popular tourist destination and the busiest beach community in New Hampshire.  Ocean Boulevard, the main street along the beach, includes a boardwalk, many shops and businesses, several seasonal hotels, and the Hampton Beach Casino Ballroom, which hosts national acts in the summer.  Hampton Beach State Park was named one of four ""Superstar"" beaches in the United States in 2011, for having had perfect water-quality testing results in each of the previous three years."
1454,USS Hampton (SSN-767),"USS ""Hampton"" (SSN-767), a ""Los Angeles""-class submarine , is the fourth ship of the United States Navy to bear this name.  The earlier ""Hampton""s were given their names for varying reasons, but SSN-767 was specifically named for four cities: Hampton, Virginia; Hampton, Iowa; Hampton, South Carolina; and Hampton, New Hampshire.  There are 14 more ""Hampton"" towns in the United States."
1455,Hampton Beach State Park,"Hampton Beach State Park is a 50 acre state park in the community of Hampton Beach, New Hampshire, United States.  It is located on the southeastern edge of New Hampshire on a peninsula where the Hampton River meets the Atlantic Ocean.  Ocean Boulevard (New Hampshire Route 1A) forms the western edge of the park."
1456,Hampton River (New Hampshire),"The Hampton River is a tidal inlet in the towns of Hampton and Hampton Falls, New Hampshire, the United States.  It is surrounded by the largest salt marsh in New Hampshire, covering over 3800 acre ."
1457,New Hampshire Route 27,"New Hampshire Route 27 (abbreviated NH 27) is a 37.621 mi long east–west highway in southeastern New Hampshire.  The western terminus of NH 27 is in Hooksett at U.S. Route 3 and New Hampshire Route 28 north of Manchester.  The eastern terminus is in Hampton Beach at New Hampshire Route 1A, which runs along the New Hampshire coastline adjacent to the Atlantic Ocean."
1458,Planet Fitness,"PFIP LLC (doing business as Planet Fitness) is an American franchisor and operator of fitness centers based in Hampton, New Hampshire.  The company reports that it has more than 1,400 clubs,<ref name=""Sheetz, CNBC 8/10/17""> </ref> making it one of the largest fitness club franchises by number of members and locations.  It markets itself as a ""Judgement Free Zone"" that caters to novice and casual gym users and is reported to be the nation’s fastest growing fitness center franchise."
1459,Sunrise Mall (Corpus Christi),"Sunrise Mall is a two-story, enclosed shopping mall in Corpus Christi, Texas.  It is located at the intersection of Airline Dr. & S. Padre Island Drive.  Anchor stores include Burlington Coat Factory, Sears and Wilcox Furniture.  Other tenants include Cinemark Dollar Cinemas, Planet Fitness and New Life Church (formerly The Summit Church)."
1460,"Hampton, New Hampshire","Hampton is a town in Rockingham County, New Hampshire, United States.  The population was 14,976 at the 2010 census.  Located beside the Atlantic Ocean, Hampton is home to Hampton Beach, a summer tourist destination."
1461,Moulton's Regiment of Militia,"Moulton's Regiment of Militia also known as the 3rd Regiment of New Hampshire Militia was first called up in April 1775 at Hampton, New Hampshire under the command of Col. Jonathan Moulton.  The regiment garrisoned the New Hampshire seacoast after the British burned the town of Falmouth, Maine then part of Massachusetts.  The regiment had a twenty-four-hour look-out at Little Boar's Head in North Hampton, New Hampshire where all the coastal shipping could be watched and warning giving to the local area in case of attack.  Col. Moulton would lead the regiment in the Saratoga Campaign joining Gen. John Stark in northern New York.  The regiment would spend the rest of the American Revolutionary War guarding the seacoast of New Hampshire."
1462,Kali Hawk,"Kali Hawk (born October 4, 1986) is an American actress, comedian and model.  She has starred in films such as ""Fifty Shades of Black"", ""Couples Retreat"", ""Bridesmaids"" and ""Tyler Perry Presents Peeples"".  She recurs as Shelby in ""New Girl"" and currently co-stars in the Adult Swim series ""Black Jesus."""
1463,List of Black Jesus episodes,"Black Jesus is an American comedy series created by Aaron McGruder and Mike Clattenburg that airs on Adult Swim.  The series stars Gerald ""Slink"" Johnson, Charlie Murphy, Corey Holcomb, Kali Hawk, King Bach, and Andra Fuller.  The series premiered on August 7, 2014.  On December 10, 2014, the series was renewed for a second season.  The second season premiered on September 18, 2015."
1464,Night Club (2011 film),Night Club is a 2011 American comedy film starring Ernest Borgnine and Mickey Rooney.  It is the directorial debut of Sam Borowski.
1465,Black Jesus (TV series),"Black Jesus is an American comedy television series created by Aaron McGruder and Mike Clattenburg that airs on Adult Swim.  The series stars Gerald ""Slink"" Johnson, Charlie Murphy, Corey Holcomb, Kali Hawk, King Bach, and Andra Fuller.  The series premiered on August 7, 2014.  On December 10, 2014, the series was renewed for a second season.  The second season premiered on September 18, 2015."
1466,Zookeeper (film),"Zookeeper is a 2011 American comedy film directed by Frank Coraci, starring Kevin James, Rosario Dawson and Leslie Bibb, and featuring the voices of Nick Nolte, Sylvester Stallone, Adam Sandler, Don Rickles, Judd Apatow, Cher, Jon Favreau, and Faizon Love.  It revolves around an unlucky zookeeper who turns to the animals at his zoo to help him find love.  It was the first MGM movie to be co-produced with Happy Madison, yet distributed by Columbia Pictures.  The film was released on July 8, 2011.  This was the last movie Don Rickles starred in before his death in 2017."
