translated_question,translated_answer,classification,retrieved_context,final_answer,classification_time,decomposition_time,retrieval_time,generation_time,total_time,level
"کورنوال ڈومسڈے کتاب کے مطابق ، 1087 میں مرنے والے افراد کی تعداد میں اضافہ ہوا ہے۔",ولیم فاتح,singlehop,"['۔ ڈومسڈے بک 1086 میں اسے ڈیوون میں 27 جاگیروں کے مالک کے طور پر درج کیا گیا ہے۔', 'ڈیلٹا ایئر لائنز کی پرواز 1086 (ڈی ایل 1086 ڈی ایل 1086) ایک طے شدہ ڈیلٹا ایئر لائنز کی گھریلو مسافر پرواز تھی جو اٹلانٹا اور نیو یارک کے لا گارڈیا ہوائی اڈے کے درمیان چلتی تھی', 'ڈنڈین آئلز گولف کلب ، ایک قومی تاریخی مقام ہے جو 1050 پام بلیوڈ ، ڈنڈین ، فلوریڈا میں واقع ہے۔', 'ڈیلٹا ایئر لائنز کی پرواز 1086 (ڈی ایل 1086 ڈی ایل 1086) ایک طے شدہ ڈیلٹا ایئر لائنز کی گھریلو مسافر پرواز تھی جو اٹلانٹا اور نیو یارک کے لا گارڈیا ہوائی اڈے کے درمیان چلتی تھی', 'ایسٹ لیک اکیڈمی ، ایک اسکول ہے جو نوٹنگھم شائر کے راشکلیف کے علاقے میں واقع ہے۔ یہ اسکول انفارمیشن کمیونیکیشن ٹیکنالوجی (آئی سی ٹی) اور ریاضی میں مہارت رکھتا ہے۔ اس اسکول کی موجودہ پرنسپل کے ڈی ہارڈی ہیں۔ اسکول کی طلباء کی گنجائش 1386 ہے', '۔ اس کے پاس 1086 کی ڈومسڈے بک کے مطابق ڈیونشائر کاؤنٹی میں 22 زمینیں تھیں ، اور اس کے پاس مزید زمینیں تھیں ، بشمول سینٹ گیلس ان ہیتھ کے پارش میں پینسن کا مینور۔ اس کے مینورز بعد میں پلمپٹن کے فیودل بارونی میں اترے۔']","کورنول ڈومسڈے کتاب کے مطابق ، اس سے پچھلے کوئی معلومات نہیں مل رہی ہے کیونکہ یہ سوال کورنول ڈومسڈے کتاب کا حوالہ کرتا ہے جبکہ میں کورنول ڈومسڈے کتاب کا حوالہ نہیں دیکھ رہا ۔",3.292247057,5.375291348,5.609228849,4.547382832,18.82415009,medium
"کرسٹوفر نیوپورٹ یونیورسٹی اور مینیسوٹا اسٹیٹ یونیورسٹی ، مینکاٹو دونوں کس قسم کے کالج ہیں؟",عوامی,singlehop,"['کنٹری مرد آرٹسٹ ، بہترین کنٹری خاتون آرٹسٹ ، اور کنٹری گروپ یا ڈو آف دی ایئر شامل ہیں', '۔ اس میں انتھونی گرین ، ویلیری ایڈمنڈ ، اسٹیورٹ میک کوری اور نٹالی والٹر بھی شامل ہیں۔', '، یونیورسٹی آف ساؤتھ فلوریڈا ، اور فلوریڈا اٹلانٹک یونیورسٹی میں پروفیسر ایمیریٹس ، گلوبل سینٹر فار نیورولوجیکل نیٹ ورکس کے ڈائریکٹر ہیں']","Country میں شامیل ہونے والے آرٹسٹ یا گروپ کوئی کالج نہیں ہیں، لہٿا یونیورسٹیاں ہیں۔",3.614969492,5.897300482,5.295861244,2.072708607,16.88083982,medium
2012 کے این بی اے ڈرافٹ میں چھٹے نمبر پر کون تھا اور 2012 کے این بی اے سمر لیگ کا ایم پی وی کون تھا؟,ڈیمین لیلارڈ,multihop,"['نیویارک میں 2012 میں آنے والے سمندری طوفان سینڈی کے نتیجے میں شہر کے کئی حصوں میں بجلی کی کمی واقع ہوئی تھی', 'لندن اسمبلی کے انتخابات کا انعقاد 3 مئی 2012 کو لندن میئر کے انتخابات اور برطانیہ کے مقامی انتخابات کے ساتھ ہوا', '2012 بی این پی پیریباس اوپن میں ، جو مارچ 2012 میں انڈین ویلز ، کیلیفورنیا میں کھیلا گیا تھا ، دفاعی چیمپئن کیرولین وزنیاککی چوتھے راؤنڈ میں انا ایوانوویچ سے ہار گئیں۔ یہ مسلسل دوسرا سال تھا جب ایوانوویچ نے دفاعی چیمپئن کو ناک آؤٹ کیا', '2012 بی این پی پیریباس اوپن میں ، جو مارچ 2012 میں انڈین ویلز ، کیلیفورنیا میں کھیلا گیا تھا ، دفاعی چیمپئن کیرولین وزنیاککی چوتھے راؤنڈ میں انا ایوانوویچ سے ہار گئیں۔ یہ مسلسل دوسرا سال تھا جب ایوانوویچ نے دفاعی چیمپئن کو ناک آؤٹ کیا', '۔ اسکول ایک تفریحی مرکز اور لینٹرن پرائمری اینڈ نرسری اسکول کے ساتھ اپنی جگہ کا اشتراک کرتا ہے۔ ستمبر 2012 میں ، اسکول کو ایک جامع سے ایک اکیڈمی کی حیثیت حاصل کرنے کے بعد ، ستمبر 2012 میں اس کا نام بھی تبدیل کردیا گیا۔', 'لندن اسمبلی کے انتخابات کا انعقاد 3 مئی 2012 کو لندن میئر کے انتخابات اور برطانیہ کے مقامی انتخابات کے ساتھ ہوا', '۔ 2012 کے تعلیمی سال کے آغاز میں ، پاولا بیلی نے ایگزیکٹو ڈائریکٹر کی حیثیت سے کام شروع کیا۔ چارٹر اسکول میں متعدد مالی مسائل تھے۔ بورڈ آف ٹرسٹیز نے 2013 کے دوران اسکول کو بند کرنے کا فیصلہ کیا۔', 'لندن اسمبلی کے انتخابات کا انعقاد 3 مئی 2012 کو لندن میئر کے انتخابات اور برطانیہ کے مقامی انتخابات کے ساتھ ہوا']",کیرولین وزنیاک تھی جو 2012 کے این بی اے ڈرافٹ میں چھٹے نمبر پر تھی اور 2012 کے این بی اے سمر لیگ کا ایم پی وی انا ایوانوویچ تھا,6.104334593,5.08109498,5.12086916,3.119853973,19.42615271,medium
ہارٹ ڈی فشر نے کس شہر کے ایک مجرم کے بارے میں ایک مزاحیہ کتاب بنائی؟,ملواکی,singlehop,"['۔ اس کے گول سے چلی نے ورلڈ کپ میں تیسری پوزیشن حاصل کی۔', '۔ لنڈسٹڈٹ اور قریشی پھر سیمی فائنل میں آندرے بیگیمن اور لیینڈر پیس سے ہار گئے۔', '۔ ان کی فلموں میں ، نفسیاتی عام طور پر جسمانی کے ساتھ جڑا ہوا ہے۔', 'رومانس ایکس ایک فرانسیسی آرٹ ہاؤس فلم ہے جس میں کیتھرین بریلیٹ نے ہدایت کی ہے۔ اس میں کیرولین ڈوسی ، فحش اداکار روکو سیفریڈی ، ساگامور اسٹیونین اور فرانسوا برلیانڈ نے مرکزی کردار ادا کیا ہے', 'کیٹی پیری کی طرف سے پیری ایک خوشبو ہے جو امریکی گلوکار کیٹی پیری اور گینگک پارفومز نے بنائی ہے', '۔ اس کی ہدایت کاری ڈگلس ٹرمبل نے کی تھی ، جس نے پہلے سائنس فکشن فلموں پر خصوصی اثرات کے سپروائزر کی حیثیت سے کام کیا تھا۔']",لنڈسٹڈٹ!,3.242261171,4.770027876,4.786791801,0.833555698,13.63263655,medium
A Celtic Journey ایک گلوکار کا ایک البم ہے جو کس میوزیکل مجموعہ کا حصہ تھا؟,سیلٹک عورت,singlehop,"['۔ اس البم میں گلوکار مائیکل گریوز اور ڈریمرز کے علاوہ ، """"گلیڈ"""" بھی شامل تھا۔""', '۔ اس میں تین گانے بھی شامل تھے۔', '۔ اس کے مقامی مساوی مینڈل اور ایلسٹرین گلیشیئیشن کا نام ریو لیکو گلیشیئیشن ہے۔']",ماундل اور ایلسٹرین گلیشیئیشن,3.021571398,4.816881657,5.167332649,0.65166235,13.65744805,medium
"کون زیادہ اکیڈمی ایوارڈز جیت لیا، رون Fricke یا نیل اردن؟",نیل پیٹرک اردن,singlehop,"['ڈارڈن ریسٹورنٹس ، ایک امریکی ملٹی برانڈ ریستوراں آپریٹر ہے جس کا صدر دفتر اورلینڈو میں ہے', 'فادرسن ایک تین رکنی سکاٹش بینڈ ہے جو گلاسگو میں مقیم ہے اور کِلمرنک میں تشکیل دیا گیا ہے', 'فائنل بلڈ باتھ سیشن ڈیتھ میٹل بینڈ مورٹیشن کا ایک لائیو البم ہے۔']",نیل اردن نے زیادہ اکیڈمی ایوارڈز جیت لیا ۔,3.182121992,5.180049896,4.668928623,1.06932354,14.10042405,medium
کیا بلیکر اور گولڈن سیلز دونوں کینیڈین راک بینڈ ہیں؟,"ہاں، ہاں",singlehop,"['کو ایتھنز کے رومن کیتھولک آرچ بشپ اور روڈس کے رومن کیتھولک آرچ بشپ کے اپوسٹولک ایڈمنسٹریٹر کے طور پر رکھا تھا', 'مون رائز ایک بچوں کا افسانوی ناول ہے ، جو سیریز کی دوسری کتاب ہے', 'ولیم بووری دفاعی چیمپئن تھا ، لیکن کوارٹر فائنل میں رے روفلز سے ہار گیا۔']","نا، وہ نہیں ہیں!",3.484609127,5.756232977,4.822532892,0.750027895,14.81340289,medium
جان وین اور مائیکل ٹکر نے البم جوآن کے لئے کس مشہور امریکی گلوکار کے ساتھ کام کیا؟,لیڈی گاگا,singlehop,"['بریئر فیلڈ ایک کپاس کا پلانٹیشن تھا جو ویکسبرگ کے جنوب میں واقع ڈیوس بینڈ میں واقع تھا ، جو کنفیڈریٹ کے صدر جیفرسن ڈیوس کا گھر تھا', 'فلم تھی ، جس میں لیزلی ہاورڈ نے ایک نوجوان اداکار کی حیثیت سے اداکاری کی تھی', 'کے ساتھ کراس میگلن کے جنوب مشرق میں واقع تھا اور اس کے نتیجے میں تین برطانوی فوجیوں کی موت ہوگئی تھی', 'بریکنگ ان ایک تھرلر فلم ہے جس کی ہدایت کاری جیمز میک ٹیگ نے کی ہے اور اس میں گیبریل یونین نے مرکزی کردار ادا کیا ہے۔ یونین بھی اس فلم کی تیاری کے لئے تیار ہے ، جس میں ول پیکر ، جیمز لوپیز ، کریگ پیری اور شیلا ٹیلر شامل ہیں۔', 'نے امریکی معاشرتی شخصیت ٹوپسی برٹش ، جینیفر ایلی جونز نے ڈوین اور ماڈل روزمیری لیٹن کی حیثیت سے ، اور کیٹچٹ نے آسٹریلیائی نرس سوزان اور ایلیسن اسپریگٹ کی حیثیت سے اداکاری کی', 'کینساس نیبراسکا ایکٹ ، جسے ریاست کے صدر فرینکلن پیرس نے منظور کیا تھا ، نے کینساس اور نیبراسکا کے علاقوں کو تشکیل دیا تھا۔ اس قانون کا بنیادی مقصد ہزاروں نئے فارم کھولنا اور مڈویسٹرن ٹرانس کنٹیننٹل ریلوے کو قابل عمل بنانا تھا', 'بریکنگ ان ایک تھرلر فلم ہے جس کی ہدایت کاری جیمز میک ٹیگ نے کی ہے اور اس میں گیبریل یونین نے مرکزی کردار ادا کیا ہے۔ یونین بھی اس فلم کی تیاری کے لئے تیار ہے ، جس میں ول پیکر ، جیمز لوپیز ، کریگ پیری اور شیلا ٹیلر شامل ہیں۔']",لیزلی ہاورڈ نے البم اپنے لئے گیبریل یونین کے ساتھ کام کیا تھا۔,4.294824123,5.146081448,5.249744892,2.124591112,16.81524158,medium
"""پٹسبرگ اسٹیلرز کے بانی مالک نے کہا کہ """"رونی رول"""" کے بارے میں کیا خیال ہے؟""",جوزف آرتھر رونی سینئر,singlehop,"['اور سکاٹس بورو بوائز کیس کے ارکان کے لئے آئی ایل ڈی ڈی ڈیفنس ٹیم کے رکن تھے', '۔ اس پارٹی کی بنیاد چارلز ڈی گال کے ریلی کے دور میں رکھی گئی تھی۔ اس پارٹی کے کئی ارکان یونانی ریلی میں شامل ہو گئے تھے۔', 'گریسن کے طور پر ، انا ڈوپ اور ٹیگن کرافٹ کے ساتھ بالترتیب اسٹار فائر اور ریون کے طور پر دیکھا گیا ہے', 'ٹوائلٹ ساگا ، ایک رومانوی اور خیالی فلم سیریز ہے جو امریکی مصنف اسٹیفنی میئر کے چار ناولوں پر مبنی ہے۔ اس سیریز میں کرسٹن اسٹیورٹ ، رابرٹ پیٹنسن اور ٹیلر لاؤٹنر نے مرکزی کردار ادا کیا ہے']","نہیں دیکھا گیا کہ پٹسبرگ اسٹیلرز کے بانی مالک ""رونی رول"" کے بارے میں کچھ خیال رکھتے ہوں کیونکہ یہ سوال دئی ایل ڈی ڈی ڈیفنس ٹیم سے متعلق ہے جس کا تعلق سکاٹس بورو بوائز کیس سے ہے نہیں ٹوائلٹ ساگا سے۔",1.58641839,5.749066353,5.25312233,4.218547821,16.80715489,medium
"""اس کے بعد، وہ ایک البم """"ڈپریشن"""" کے ساتھ ایک بار پھر 1976 میں بل بورڈ ہاٹ 100 پر ایک گانا تھا.""",جارج ہیریسن,singlehop,"['۔ موجودہ پبلشر لیہ ایس ڈونیف ہے۔', 'بیبر) اور مشہور میوزک ویڈیوز اور ٹیلی ویژن شوز کی نقالی کے لئے مشہور تھے', '۔ وہ اس وقت لوٹن کنزرویٹو ایسوسی ایشن کے چیئرمین تھے۔', '۔ وہ میونخ آر ڈی وائلن مقابلہ کے ابتدائی سالوں میں انعام یافتہ تھیں۔ کچھ ابتدائی ریکارڈنگ میں اس کا نام سوزان یا سوسی کے طور پر ظاہر ہوتا ہے۔', '""اس کے بعد ، وہ ایک امریکی گلوکارہ اور گلوکارہ بن گئیں۔ اس کے بعد ، وہ ایک امریکی گلوکارہ بن گئیں', 'پر تعمیر کیا گیا تھا ، اس طرح تباہ شدہ ریستوراں کی جگہ لے رہا ہے', '۔ وہ کرسٹل پیلس کے مینیجر بھی تھے۔ وہ البرٹ ڈوئس کا چھوٹا بھائی تھا جو کرسٹل پیلس اور نارتھمپٹن کے لئے بھی پیشہ ورانہ طور پر کھیلتا تھا۔', '۔ وہ اتنی پیداواری تھی کہ اس کے ایڈیٹر نے تجویز دی کہ وہ اپنے کچھ کاموں کو پین نام کے تحت شائع کرے۔', 'کے طویل مدتی اثرات ، اور ان عملوں پر توجہ مرکوز کی جس کے ذریعہ وہ پہلے سال کے معیاری کورسز کے لئے سائن اپ کرتی ہیں', '""اس کے بعد ، وہ ایک امریکی گلوکارہ اور گلوکارہ بن گئیں۔ اس کے بعد ، وہ ایک امریکی گلوکارہ بن گئیں', '۔ وہ امریکی حکومت کے گواہ بننے سے پہلے لاس اینجلس کے جرائم پیشہ خاندان کی سربراہ تھی']","اس کے بعد وہ ایک البم نہیں بنائے، لیکن 1976 میں وہ بل بورڈ ہاٹ 100 پر ایک گانا تھا۔",3.389143944,4.922964096,5.107355595,2.480722666,15.9001863,medium
ٹوائن برانڈز کی پیرنٹ کمپنی کس ملک میں مقیم ہے؟,امریکی,singlehop,"['۔ کمپنی کی بنیادی سرگرمی چینی مارکیٹ کے لئے فورڈ برانڈ مسافر کاروں کی تیاری ہے', '۔ اس کے مقامی مساوی مینڈل اور ایلسٹرین گلیشیئیشن کا نام ریو لیکو گلیشیئیشن ہے۔', 'نیوز ٹاک فارمیٹ اور این پی آر سے پروگرامنگ پیش کرتا ہے) بھی چلاتا ہے']",چین میں مقیم ہے,3.466447115,5.401690722,5.165886641,0.614506721,14.6485312,medium
نیویارک شہر کے شہر مین ہیٹن میں آئرش ہنگ میموریل کے قریب ایک عمارت کو تباہ کرنے والے حملے کا آغاز کیا گیا تھا۔,11 ستمبر 2001 کے حملوں کے بعد سے,singlehop,"['ایک نسلی مذہبی گروہ ایک نسلی گروہ ہے جس کے ارکان ایک عام مذہبی پس منظر کے ذریعہ بھی متحد ہوتے ہیں', 'نیویارک کے شمالی حصے میں ، نیو یارک شہر کے شمال میں ، شہر کے باہر ، ریاست کی زیادہ تر اسکائی سکریپٹرز البانی ، بفیلو اور روچیسٹر میں مرکوز ہیں', 'نیپال کی وفاقی جمہوری جمہوریہ نے روایتی طور پر غیر منسلک پالیسی کو برقرار رکھا ہے اور پڑوسی ممالک کے ساتھ دوستانہ تعلقات سے لطف اندوز ہوتا ہے']",کراً نہیں! یہ متن میں ایسا کوئی ذکر نہیں ہے کہ نیویارک شہر کے شہر مین ہٹن میں آئرش ہنگ میموریل کے قریب عمارت کو تباہ کرنے والے حملے کا آغاز کیا گیا تھا۔,2.980760813,7.403800011,5.857688904,3.428295374,19.6705451,medium
میک کولک بمقابلہ میری لینڈ کیس اور ان ری گالٹ فیصلہ دونوں کا فیصلہ کس حکومتی ادارے نے کیا؟,سپریم کورٹ,multihop,"['میں البم کی ترقی اوریگون اسٹوڈیو میں پورے تخلیقی عمل کے دوران ملک سے کہیں زیادہ امریکن ہوگئی', 'میں بین الاقوامی تعلقات کے لئے وقف پہلا امریکی رسالہ تھا', '۔ الٹ مین کو ہالی ووڈ کی زیادہ تر فلموں کے برعکس انتہائی قدرتی لیکن اسٹائلائزڈ اور طنزیہ جمالیات والی فلمیں بنانے میں ایک ""مختلف"" سمجھا جاتا تھا۔', 'میکس ایک امریکی مزاحیہ کتاب سیریز ہے جو سیم کیت نے تخلیق کی تھی اور اصل میں امیج کامکس کے ذریعہ ماہانہ شائع کی گئی تھی ، پھر ڈی سی کامکس کے وائلڈ اسٹورم امپرنٹ کے ذریعہ تجارتی پیپر بک میں جمع کی گئی تھی']",وایلڈ اسٹورم امپرنٹ نے فیصلہ کیا تھا۔,3.259630919,5.050557137,5.52075386,1.244412184,15.0753541,medium
"کون سا پیشہ ور پوکر کھلاڑی ، 50 سال سے زیادہ کے تجربے کے ساتھ ، 1979 مکسڈ ڈبلز - کوئی حد ہولڈم جیت گیا؟",ڈویل برنسن,singlehop,"['اور گروپ پی ایس اے کے مابین 50: 50 مشترکہ منصوبہ ہے', '۔ اسکول نے حال ہی میں 50 ملین ڈالر کی تزئین و آرائش کا منصوبہ شروع کیا ہے۔', '۔ یہ البم ایک دہائی کے 50 سب سے اہم ریکارڈنگ میں سے ایک کے طور پر درج کیا گیا تھا ، نیشنل پبلک ریڈیو کے """"آل گیمز پر غور کیا گیا.""""""', '""میکریل ایک امریکی کھیلوں کا ڈرامہ ہے جس میں امریکی ہاکی ٹیم کے ہیڈ کوچ ہرب بروکس کی قیادت میں ، کرٹ رسل کی طرف سے پیش کیا گیا ہے ، جس نے 1980 کے سرمائی اولمپکس میں سونے کا تمغہ جیتا تھا', 'اور گروپ پی ایس اے کے مابین 50: 50 مشترکہ منصوبہ ہے']",کرٹ رسل تھا۔,3.33992362,6.262736797,5.823156595,0.824068308,16.24988532,medium
امریکی بحریہ کے بحری جہاز کیٹینری کو کس ریاست میں واقع ایک اکیڈمی کو فروخت کیا گیا؟,نیو یارک,singlehop,"['شارہم ایک بندرگاہ اسٹیشن تھا جو لانگ آئلینڈ ریلوے روڈ کی پورٹ جیفرسن برانچ پر وڈنگ ریور ایکسٹینشن پر واقع تھا', 'ٹیلی ویژن نے تیار کی تھی اور اصل میں برطانیہ میں آئی ٹی وی کے ذریعہ نشر کی گئی تھی', 'تھا اور ان کے ڈیزائن کی نقلیں مندرجہ ذیل صدیوں تک جاری رہی']",نیو یارک STATE Mein.,3.207148552,5.644555569,5.168363094,0.53557682,14.55564404,medium
فلوریڈا اٹلانٹک یونیورسٹی اور ازمیر انسٹی ٹیوٹ آف ٹکنالوجی دونوں فلوریڈا میں ہیں؟,نہیں,singlehop,"['۔ ایڈمنسن یونیورسٹی یونیورسٹی یونیورسٹی ایتھلیٹکس ایسوسی ایشن آف فلپائن کا ممبر بھی ہے۔', '۔ ڈبلیو ایم ایچ ٹی ایم ٹرانسمیٹر نیو اسکاٹ لینڈ کے ہیلڈربرگ ایسکرپمنٹ میں واقع ہے۔', '۔ اس کی بنیادی سرگرمی چین میں ڈی ایس آٹوموبائلز برانڈ مسافر کاروں کی تیاری اور فروخت ہے۔', '۔ اس کے بعد ہیٹی میں طوفان کی درجہ بندی کی گئی اور ہائٹی میں طوفان کی درجہ بندی کی گئی۔ ہائٹ کے نام سے ہیٹ کو شمالی اٹلانٹک کے سمندری طوفانوں کے لیے استعمال کیا جاتا ہے۔', '۔ ایک اعلی درجے کی ہائی اسکول ایتھلیٹ ، اس نے پہلے ٹینیسی اسٹیٹ یونیورسٹی کے لئے دوڑنا شروع کیا ، پھر بعد میں سیٹن ہال یونیورسٹی۔ اس نے اپنے آبائی ملک ٹرینیڈاڈ اینڈ ٹوباگو کے لئے بین الاقوامی مقابلہ کا پہلا ذائقہ حاصل کیا']","نہیں ۔ 

(Note: I've translated the answer for clarity purposes. The actual answer in Urdu is: نہیں)",3.102520466,6.162858725,5.432896376,1.742435217,16.44071078,medium
اس البم میں خواتین کی ہانکی ٹاک تھی اور اسٹیون ٹائلر کی خصوصیت کا آخری ہفتہ تھا؟,اسے خون بہنے دو,singlehop,"['اینجلس بین الاقوامی ہوائی اڈے کی پروازیں ختم کردی ہیں', '۔ اس کی بنیادی سرگرمی چین میں ڈی ایس آٹوموبائلز برانڈ مسافر کاروں کی تیاری اور فروخت ہے۔', '۔ اس البم میں ٹاپ ٹین ہٹ ، اس ڈی جے بھی شامل تھا۔']","ہا نہیں تھی اور نہیں تھا، اس البم میں ٹاپ ٹین ہٹ تھا، اس کا ذکر نہیں گیا تھا۔",4.179293633,5.012037754,4.632498741,1.705968142,15.52979827,medium
لیس بریور نے کس شہر میں واقع ایک کالج کی بنیاد رکھی؟,بار ہاربر,singlehop,"['۔ سکھ فوج کو برطانوی باقاعدہ اور بنگال فوج کی فوجوں نے شکست دی تھی۔ کچھ دن بعد اس نے ہتھیار ڈال دیئے۔', '۔ اس کے بعد اس نے چین کے ساتھ تجارت شروع کی اور ہندوستانی ذیلی براعظم پر قبضہ کر لیا۔', '۔ یہ سیریز شان ریان اور ایرک کرپک نے بنائی تھی۔']",رانجیت سنگھ نے لاہور میں کالج کی بنیاد رکھی۔,1.546718597,5.104875088,5.098850727,0.907583714,12.65802813,medium
"""برطانوی ماہر فلکیات اور موسیقار نے """"این جی سی 4454"""" نامی ایک بارڈ سرپل کہکشاں دریافت کی ہے۔""",ولیم ہرشل,singlehop,"['کی نئی اور پہلے سے جاری نہ ہونے والی تحریروں کی پیش کش کرتی ہے', 'میں سے ایک ریاست میں برلنگٹن کوٹ فیکٹری اسٹورز اور شہر کے دفاتر شامل ہیں', 'بچے مہاراجا دلیپ سنگھ نے کی تھی ، جو لاہور میں برطانوی حراست میں تھا']","نہیں، یہ اطلاعات میں شامل نہیں ہے۔",3.132641315,5.406700134,5.047258854,1.037513971,14.62411427,medium
"آپ کو آواز کے سبق حاصل کرنے کے لئے زیادہ امکان کون ہو گا، فرش Jansen یا جیمی سینٹ جیمز",فرش جانسن,singlehop,"['۔ اس مقابلے میں مس انڈیا کا اعزاز حاصل کرنے والی خاتون کو مس انڈیا کا اعزاز دیا جاتا ہے۔', '۔ اس کا نام اس کے عملے اور بورڈ آف ٹرسٹیز کے مابین تعاون کے لئے رکھا گیا ہے', '۔ اس نے کارٹون نیٹ ورک جیسے بڑے نیٹ ورکس کے لئے متعدد کارٹون سیریز پر کام کیا ہے۔', '۔ زپ کیبلز کا ڈیزائن کنڈکٹر کو رکھنا آسان بناتا ہے جو بجلی یا آپٹیکل سگنلز کو ایک ساتھ لے جاتے ہیں اور کیبلز کے الجھن سے بچنے میں مدد کرتا ہے۔ عام استعمال میں لیمپ کیبل اور اسپیکر تار شامل ہیں']",مس انڈیا کا اعزاز حاصل کرنے والی خاتون فرش Jansen نہیں بلکہ جیمی سینٹ جیمز ہو گا۔,3.212160349,5.416736364,5.441917896,1.665403843,15.73621845,medium
شمالی برائٹن میں کون سا ادارہ 1898 میں قائم کیا گیا تھا؟,منڈا انکارپوریٹڈ,singlehop,"['نسبتا مختصر اشاعت تھی، اکتوبر 1901 میں اس کا پہلا شمارہ شروع ہوا اور دسمبر 1916 میں اس کا آخری شمارہ تھا.""', '۔ بیٹس کالج انسٹی ٹیوٹ کی بنیاد 1898 میں رکھی گئی تھی ، جس میں پرائمری ، ہائی اسکول اور ابتدائی کالج کی تعلیم فراہم کی جاتی تھی۔ وائر گراس ریجن میں سب سے قدیم تعلیمی اداروں میں سے ایک ، اسکول میں 1918 تک 250 سے زیادہ طلباء تھے', 'شیرلی سیریز کا پہلا حصہ ، جو 1908 میں شائع ہوا تھا', '۔ بیٹس کالج انسٹی ٹیوٹ کی بنیاد 1898 میں رکھی گئی تھی ، جس میں پرائمری ، ہائی اسکول اور ابتدائی کالج کی تعلیم فراہم کی جاتی تھی۔ وائر گراس ریجن میں سب سے قدیم تعلیمی اداروں میں سے ایک ، اسکول میں 1918 تک 250 سے زیادہ طلباء تھے', '۔ اس کے بعد اس کو سنہ 1908 میں سنہ 1908 میں سنہ 1908 میں سنہ 1908 میں سنہ 1908 میں سنہ 1908 میں سنہ 1908 میں سنہ 1908 میں سنہ 1908 میں سنہ 1908 میں سنہ 1908 میں سنہ 1908 میں سنہ 1908 میں سنہ 1908 میں سنہ 1908 میں سنہ 1908 میں سنہ 1908 میں سنہ 1908', 'نسبتا مختصر اشاعت تھی، اکتوبر 1901 میں اس کا پہلا شمارہ شروع ہوا اور دسمبر 1916 میں اس کا آخری شمارہ تھا.""', '۔ بیٹس کالج انسٹی ٹیوٹ کی بنیاد 1898 میں رکھی گئی تھی ، جس میں پرائمری ، ہائی اسکول اور ابتدائی کالج کی تعلیم فراہم کی جاتی تھی۔ وائر گراس ریجن میں سب سے قدیم تعلیمی اداروں میں سے ایک ، اسکول میں 1918 تک 250 سے زیادہ طلباء تھے', '""اس کا نام """"سین فرانسسکو نیشنل فارسٹ ریزرو"""" کے نام سے رکھا گیا ہے۔ یہ علاقہ سنہ 1898 میں قائم کیا گیا تھا اور اس کے بعد اس کو سنہ 1908 میں امریکی نیشنل فارسٹ ریزرو کے نام سے نامزد کیا گیا تھا']",بیٹس کالج انسٹی ٹیوٹ 1898 میں قائم کیا گیا تھا۔,2.938163519,5.288712263,5.651854277,2.004292965,15.88302302,medium
کینیڈا کے شہر مونٹریال میں ایک بڑے پیمانے پر قتل عام کے بعد خودکشی کرنے والے شخص کا نام کیا ہے؟,مارک لیپین,singlehop,"['فلرٹن ایتھلیٹک پروگراموں کے لئے عوامی خطاب کے اعلان کنندہ کے طور پر کیا', 'وطن تھا جس نے ایک عام ہڑتال کا مطالبہ کیا اور اس کی تقسیم کی اور دوسری صورت میں سخت ، انارکیسٹ اور سوشلسٹ خیالات کی وکالت کی', 'ارادوں کے ساتھ وفاداری اور اداکار اور سامعین کے مابین قریبی تعلقات پر توجہ مرکوز کی گئی ہے', 'بروکلین سائکلونز ایک معمولی لیگ بیس بال ٹیم ہے جو نیو یارک کے شہر بروکلین میں مقیم ہے ، جو نیو یارک میٹس سے وابستہ نیو یارک پین لیگ میں کھیلتی ہے۔ سائکلونز نیو یارک شہر کے بروکلین کے بورڈ واک کے قریب ایم سی یو پارک میں کھیلتی ہے۔']",کوئی نہیں ۔,3.327609062,5.287491083,5.175457239,0.77677083,14.56732821,medium
ریہانا کے Rated R البم سے کون سا گانا نمونے لینے دیں؟,ٹی امو,singlehop,"['۔ یونانی آرتھوڈوکس عیسائیت نے روایتی طور پر عیسائی راہبوں اور راہبوں کی روایات پر بھاری زور دیا ہے ، جس کی ابتداء مشرق وسطی اور اناطولیہ میں ہے', 'ڈارلنگ بڈس آف مئی راک بینڈ فالٹر کا پہلا البم ہے۔', '۔ یہ فلم رابرٹ رامیرز نے ہدایت کی تھی ، جو اسکولسٹک انٹرٹینمنٹ اور بگ ریڈ ڈاگ پروڈکشنز نے تیار کی تھی۔', '۔ وہ کئی سالوں تک تعلیم دیتے رہے۔ وہ ہندوستانی رقص کے لئے کئی کمپوزیشن لکھنے اور بہت سے قابل ذکر طلباء کی تربیت دینے کے لئے جانا جاتا تھا', '۔ اس کے بعد اس پارٹی نے سوشلسٹ پارٹی کے رہنماؤں کی درخواست پر اس کی حمایت کا مطالبہ کیا اور اس کے نتیجے میں اس نے سوشلسٹ پارٹی کے نئے رہنماؤں کو دوبارہ قائم کرنے کا فیصلہ کیا۔']","کوئی گانا نمونے نہیں لیے گئے ، کیوں کہ یہ سندھ کہ ریہانا کے Rated R البم سے کوئی منسوب نہیں ہوا ۔",3.201503515,5.112161636,4.772861004,2.245753527,15.33227968,medium
